Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45
,,"54*Weaving Faith into Citizenship: 
Digital Resources and Face-to-Face
 Community in SGI-Korea’s Peace Practice
Lee, Suhyun
IRCC, Kyung Hee University","25*Between Temple and Museum
Chen, Teng-Hsiang
Fo Guang Shan Institute of Humanistic Buddhism","108*Religion and Welfare
Laliberte, Andre
University Of Ottawa","38*Mapping Buddhist Knowledge
Shih, Miao Guang
Fo Guang Shan Institute Of Humanistic Buddhism",,,"43*Modern Missionaries
Fastovsky, Naomi
Harvard University","51*Syncretism of Buddhism and Daoism 
in Community Culture
Wong, Hau Sze
Saint Francis University","116*How Religion and Religiosity 
Shape Subjective Well-Being
Hwang, Myeong Hwan
Yonsei University","79*Perception of AI Civilization in 
Daesoon Thought
Joo, Soyeon
Daejin University
Lee, Gyungwon
Daejin University",,,"114*Transmission of Vernacular Ritual Traditions in the Digital Age
Sun, Jiayue
The University Of Hong Kong","97*Platformed Cross-Reading
Ma, Nan
Jinan University (Guangzhou, China)","29*Human Rights, Religious Liberty, 
and the Limits of Legal Reform
Lee, Rowena
Independent Scholar, Taipei, Taiwan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"87*Religion as a Buffer against Social Atomization
Yeo, Youngyun
Korea University","94*Song Singing, Love, and Virtue
Ho, Wai Chung
Hong Kong Baptist University","67*Grief Care and Activities of 
Religious Practitioners
Miyajima, Shunichi
Hokkaido University","18*From Balance to Resolution
Ha, Jeeyoung
Daejin University",,,"80*Religious Security in a World of Disasters
Ng, William
National Taiwan Normal University","21*Religion and Society
Liu, Wei Ting
Tamkang University General Education and Core Curriculum Center","72*Transcending the Self or Loving 
Thy Neighbor
Su, Kuo-Hsien
National Taiwan University","129*Threads of Merit
Lin, Yu-Ting
National Tsing Hua University 
Huang, C. Julia
National Tsing Hua University",,,"74*Research on the Religious Experience 
by VR Virtual Reality Technology
Wang, Chao
Shaanxi Normal University","123*Rednote (Xiao Hong Shu 小紅書) 
as Method
Shmushko, Kai
University Of Amsterdam","30*Religious Gifts, Transitional Justice, 
and Incentive Structures
Wen, Shang-Bin
Tai Ji Men Qigong Academy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"73*Living the ""Buddhist"" Dharma and 
the Question of the Animal in the Age 
of the Anthropocene
Fisker-Nielsen, Anne Mette
Soka University","17*The Monastic Influencers
Cho, Yasmin
The University Of Chicago","75*Characteristics of Forest 
Protection Activities by Religions 
in Contemporary Japan
Takahashi, Norihito
Toyo University","100*Organizational Design and East 
Asian Religions in the Era of AI
Irons, Edward
Hong Kong Institute for Culture, Commerce And Religion",,,"47*Interpreting Manifestation and Resonance as Religious Experience
Shen, Yeh-Ying
Singapore University of Social Sciences","84*Building the Kingdom
Yeh, Shu-Ling
National Taitung University
Lau, Sin Wen
University of Otago","40*Religious Diversity Around the World
Tong, Yunping
Pew Research Center","60*What Does It Mean to Answer ""Don't Know"" to Questions on Religious Belief
Shimizu, Koki
Doshisha University
Cha, Min Kyung
Kyung Hee University",,,"105*Transnational Chinese Christians 
and Digital Placemaking in 
the Mediterranean Region
Cao, Nanlai
City University Of Hong Kong","53*Translation Edit Rates (TER) of 
Current LLMs for the Chinese to 
English Translation of the Fo 
Guang Dictionary of Buddhism
Shih, Zhi Yue
Fo Guang Shan Institute Of Humanistic Buddhism","112*Cult Controversies in Asia
Introvigne, Massimo
CESNUR (Center For Studies On New Religions)
Respinti, Marco
The Journal of CESNUR, Milan, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14:40-15:00,BREAK,,,,,14:40-15:00,BREAK,,,,,14:40-15:00,BREAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ROOM A,ROOM B,ROOM C,ROOM D,,,ROOM A,ROOM B,ROOM C,ROOM D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15:00-16:10,New Religion in the Modern World,"Migration, Politics and Religion I",Religion and Social Theory I,Religions in Southeast Asia I,,15:00-16:10,Religion and Gender,"Religious Transmission and
 Informal Islamic Education 
in South Korea and Taiwan","Migration, Politics and Religion IV",,,15:00-16:10,Plenary Meeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"22*(Re)Making Miracles
Bak, Jongseok
Korea University","117*Migration and Translocality in 
Rural Communities in Japan (1)
Tajima, Tadaastu
Reitaku University","27*Who is My Neighbor
Carnesecca, Cole
Chung Yuan Christian University","92*Relic Stūpas Associated with the 
Chinese Zodiac in Northern Thailand
Bingenheimer, Marcus
Temple University",,,"66*Between Legitimation and Marginalization
Ku, Ming-Chun
National Tsing Hua University","49*Negotiating Islamic Education
Chiou, Syuan Yuan
National Chengchi University","118*36 Years a Korean Jesuit in Japan
Kim, Allen
International Christian University",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"9*Becoming a Modern Buddhist 
Subject in Contemporary China
Rogers, Megan
Duke Kunshan University
Gu, Yixin
Duke Kunshan University","52*Migration and Translocality in 
Rural Communities in Japan (2)
Fuyutsuki, Ritsu
Reitaku University","34*On the Social Quantum Hypothesis 
of Spirituality and Religion
Cheng, Chinchen
National Chengchi University","90*The Deity's Keeper
Sam, Li Ying
Independent Researcher",,,"61*The Guanyin's Power of 
Healing Recorded in the Buddhist 
Miracle Tales in the First Two 
Decades of Post-War Taiwan
Li, Yu-Chen
National Chengchi University","50*Preserving Faith Abroad
Burhan, Amelia
University Of Indonesia","103*Charismatic Leadership in 
Korean-American Church
Kim, David W.
Australian National University / 
Kookmin University, Seoul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"107*The Face of Charismatic 
Leadership of Pentecostal 
Megachurch in Singapore
Tejedo, Joel
Asia Pacific Theological Seminary
Tejedo, Carolyn Soliven","126*A Sociological Study of Challenges 
in Career Development among Second-
Generation Muslim Migrants in Japan
Fukuda, Tomoko
Chiba University","102*A Theology of Media and 
Communication
Hong, Seung Min
International Christian University","130*Merit, Virtue, and Power : 
Rethinking Buddhist ""Economy of 
Merit"" through Myanmar's Free 
Funeral Service Movement 
Shu, Mu-Lung
National Yang Ming Chiao Tung University",,,"68*Open Places, Transnational Networks
Huang, Weishan
Hong Kong Shue Yan University","115*Teacher Involvement and Mental 
Health Support in Islamic Education 
in Taiwan
Kartina, Irna
National Taipei University
Chiou, Syuan-yuan
National Chengchi University","120*Christianity in Hong Kong 
under Political Change
Ng, Ka Shing
Hokkaido University",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16:10-16:15,BREAK,,,,,16:10-16:15,BREAK,,,,,16:10-16:15,BREAK,,,,16:30-16:45,DEPARTURE,,,,,,,,,,,,,,,,,,,,,,,,,,
,16:15-16:35,"Video Appreciation

AI in Religious Studies

Lancaster, Lewis R. 
University of California, Berkeley",,,,,16:15-17:15,TOUR,,,,,16:15-18:00,TOUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16:35-17:15,佛光山簡介,,,,,,,,,,,18:15-20:30,Farewell Dinner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
